id,regionname,countryname,prodline,lendinginstr,lendinginstrtype,envassesmentcategorycode,supplementprojectflg,productlinetype,projectstatusdisplay,sector1
P162228,Other,World;World,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P163962,Africa,Democratic Republic of the Congo;Democratic Republic of the Congo,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P167672,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P158768,South Asia,Islamic  Republic of Afghanistan;Islamic  Republic of Afghanistan,PE,Investment Project Financing,IN,A,N,L,Active,!$!0
P161364,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,PE,Investment Project Financing,IN,B,N,L,Active,Social Protection!$!63!$!SA
P161483,Middle East and North Africa,Republic of Tunisia;Republic of Tunisia,PE,Development Policy Lending,AD,0,N,L,Active,!$!0
P161885,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P162069,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P163540,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,PE,Investment Project Financing,IN,C,N,L,Active,!$!0
P163576,Middle East and North Africa,Lebanese Republic;Lebanese Republic,PE,Program-for-Results,PR,0,N,L,Active,!$!0
P163721,South Asia,Democratic Socialist Republic of Sri Lan;Democratic Socialist Republic of Sri Lan,PE,Investment Project Financing,IN,C,N,L,Active,!$!0
P164082,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P164783,South Asia,Nepal;Nepal,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P165247,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P165286,Europe and Central Asia,Kyrgyz Republic;Kyrgyz Republic,RE,Investment Project Financing,IN,B,N,L,Active,!$!0
P166360,Middle East and North Africa,Hashemite Kingdom of Jordan;Hashemite Kingdom of Jordan,PE,Development Policy Lending,AD,0,N,L,Active,!$!0
P166734,East Asia and Pacific,Republic of the Union of Myanmar;Republic of the Union of Myanmar,RE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P167000,Middle East and North Africa,Arab Republic of Egypt;Arab Republic of Egypt,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P163732,Africa,United Republic of Tanzania;United Republic of Tanzania,PE,Program-for-Results,PR,0,N,L,Active,!$!0
P163829,Africa,Federal Democratic Republic of Ethiopia;Federal Democratic Republic of Ethiopia,PE,Program-for-Results,PR,0,N,L,Active,!$!0
P164345,Africa,Burkina Faso;Burkina Faso,PE,Program-for-Results,PR,0,N,L,Active,!$!0
P166019,Europe and Central Asia,Republic of Uzbekistan;Republic of Uzbekistan,PE,Development Policy Lending,AD,0,N,L,Active,!$!0
P166303,Europe and Central Asia,Romania;Romania,PE,Development Policy Lending,AD,0,N,L,Active,!$!0
P164429,Africa,Federal Democratic Republic of Ethiopia;Federal Democratic Republic of Ethiopia,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P163756,Africa,Republic of Ghana;Republic of Ghana,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P158756,Latin America and Caribbean,Republic of Ecuador;Republic of Ecuador,PE,Investment Project Financing,IN,A,Y,L,Active,Urban Transport!$!95!$!TC
P160162,East Asia and Pacific,Socialist Republic of Vietnam;Socialist Republic of Vietnam,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P163138,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Program-for-Results,PR,0,N,L,Active,!$!0
P164262,Africa,Republic of Senegal;Republic of Senegal,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P164289,Latin America and Caribbean,Grenada;Grenada,PE,Development Policy Lending,AD,0,N,L,Active,Other Public Administration!$!56!$!BZ
P165425,Latin America and Caribbean,Co-operative Republic of Guyana;Co-operative Republic of Guyana,PE,Development Policy Lending,AD,0,N,L,Active,!$!0
P166648,Africa,Central Africa;Central Africa,RE,Investment Project Financing,IN,B,N,L,Active,!$!0
P157585,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P161562,Africa,Republic of Kenya;Republic of Kenya,PE,Development Policy Lending,AD,0,N,L,Active,!$!0
P164686,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,PE,Program-for-Results,PR,0,N,L,Active,!$!0
